Base,Link,Mantenedor,Cidade,Estado,Pais,Bandeira,Categoria,Tags
Prefeitura de Queimados,http://semad.queimados.rj.gov.br/,Queimados,Queimados,RJ,Brasil,Brasil,,Municipal
Prefeitura de Quissamã,http://transparencia.quissama.rj.gov.br/contaspublicas/,Quissamã,Quissamã,RJ,Brasil,Brasil,,Municipal
Prefeitura de Resende,http://resende.rj.gov.br/blogtransparencia/page/index.asp,Resende,Resende,RJ,Brasil,Brasil,,Municipal
Prefeitura de Rio Bonito,https://e-gov.betha.com.br/transparencia/01037-004/recursos.faces?mun=ZNMCq9WbIVc=mun=vmkUEqRPbWusgJfn2UjAO_5-6qALcbpz,Rio Bonito,Rio Bonito,RJ,Brasil,Brasil,,Municipal
Prefeitura de Rio Claro,https://e-gov.betha.com.br/transparencia/01037-004/recursos.faces?,Rio Claro,Rio Claro,RJ,Brasil,Brasil,,Municipal
Prefeitura de Rio das Flôres,http://transparenciapmrf.primaxonline.com.br/,Rio das Flôres,Rio das Flôres,RJ,Brasil,Brasil,,Municipal
Prefeitura de Rio das Ostras,https://www.riodasostras.rj.gov.br/transparencia/,Rio das Ostras,Rio das Ostras,RJ,Brasil,Brasil,,Municipal
Prefeitura do Rio de Janeiro,http://prefeitura.rio/web/transparenciacarioca,Rio de Janeiro,Rio de Janeiro,RJ,Brasil,Brasil,,Municipal
DATA.Rio,http://www.data.rio/,Rio de Janeiro,Rio de Janeiro,RJ,Brasil,Brasil,,Municipal
Prefeitura de Santa Maria Madalena,https://www.pmsmm.rj.gov.br/portal_transparencia,Santa Maria Madalena,Santa Maria Madalena,RJ,Brasil,Brasil,,Municipal
Prefeitura de Santo Antônio de Pádua,http://santoantoniodepadua.rj.gov.br/transparencia/,Santo Antônio de Pádua,Santo Antônio de Pádua,RJ,Brasil,Brasil,,Municipal
Prefeitura de São Fidélis,http://177.66.89.34:8079/Transparencia/,São Fidélis,São Fidélis,RJ,Brasil,Brasil,,Municipal
Prefeitura de São Francisco de Itabapoana,http://www.pmsfi.rj.gov.br/portal-da-transparencia/siapegov/portal/index.php?cliente=pmsaogoncalo,São Francisco de Itabapoana,São Francisco de Itabapoana,RJ,Brasil,Brasil,,Municipal
Prefeitura de São Gonçalo,http://www.pmsg.rj.gov.br/transparencia/,São Gonçalo,São Gonçalo,RJ,Brasil,Brasil,,Municipal
Portal da Transparência da Prefeitura de São Gonçalo,https://portal.pmsg.rj.gov.br/pmsaogoncalo/websis/,São Gonçalo,São Gonçalo,RJ,Brasil,Brasil,,Municipal
Prefeitura de São João da Barra,https://saojoaodabarra-rj.portaltp.com.br/consultas/institucional/arquivo.aspx,São João da Barra,São João da Barra,RJ,Brasil,Brasil,,Municipal
Prefeitura de São João de Meriti,http://transparencia.meriti.rj.gov.br/?serv=28,São João de Meriti,São João de Meriti,RJ,Brasil,Brasil,,Municipal
Prefeitura de Sao José de Ubá,http://pt.saojosedeuba.rj.gov.br/pronimtb/,Sao José de Ubá,Sao José de Ubá,RJ,Brasil,Brasil,,Municipal
Prefeitura de São José do Vale do Rio Preto,https://e-gov.betha.com.br/transparencia/01037-005/recursos.faces,São José do Vale do Rio Preto,São José do Vale do Rio Preto,RJ,Brasil,Brasil,,Municipal
Prefeitura de São Pedro da Aldeia,http://transparencia.pmspa.rj.gov.br/,São Pedro da Aldeia,São Pedro da Aldeia,RJ,Brasil,Brasil,,Municipal
Prefeitura de São Sebastião do Alto,http://ssalto.rj.gov.br/portal-da-transparencia/,São Sebastião do Alto,São Sebastião do Alto,RJ,Brasil,Brasil,,Municipal
Prefeitura de Sapucaia,http://sapucaia.rj.gov.br/servicos/index.html,Sapucaia,Sapucaia,RJ,Brasil,Brasil,,Municipal
Prefeitura de Saquarema,http://transparencia.saquarema.rj.gov.br/,Saquarema,Saquarema,RJ,Brasil,Brasil,,Municipal
Prefeitura de Seropédica,http://transparencia.seropedica.rj.gov.br/,Seropédica,Seropédica,RJ,Brasil,Brasil,,Municipal
Prefeitura de Silva Jardim,http://cidadao.silvajardim.rj.gov.br/pronimtb/index.asp,Silva Jardim,Silva Jardim,RJ,Brasil,Brasil,,Municipal
Prefeitura de Sumidouro,http://www.sumidouro.rj.gov.br/menu-transparencia/,Sumidouro,Sumidouro,RJ,Brasil,Brasil,,Municipal
Prefeitura de Tanguá,https://tangua.rj.gov.br/transparencia/,Tanguá,Tanguá,RJ,Brasil,Brasil,,Municipal
Prefeitura de Teresópolis,https://teresopolis.rj.gov.br/transparencia/,Teresópolis,Teresópolis,RJ,Brasil,Brasil,,Municipal
Prefeitura de Trajano de Moraes,https://trajanotransparente.rj.gov.br/,Trajano de Moraes,Trajano de Moraes,RJ,Brasil,Brasil,,Municipal
Prefeitura de Três Rios,http://transparencia-pmtr.sgpsystems.com.br/,Três Rios,Três Rios,RJ,Brasil,Brasil,,Municipal
Prefeitura de Valença,http://www.valenca.rj.gov.br/transparencia/,Valença,Valença,RJ,Brasil,Brasil,,Municipal
Prefeitura de Varre-Sai,http://transparencia.varresai.rj.gov.br:8090/pronimtb/,Varre-Sai,Varre-Sai,RJ,Brasil,Brasil,,Municipal
Prefeitura de Vassouras,http://186.226.210.213/pronimtb/,Vassouras,Vassouras,RJ,Brasil,Brasil,,Municipal
Prefeitura de Volta Redonda,http://www.voltaredonda.rj.gov.br/transparencia/,Volta Redonda,Volta Redonda,RJ,Brasil,Brasil,,Municipal
Portal da Transparência e Mobilidade Urbana de Natal,http://dados.natal.br/,Nata,Nata,RN,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Natal,https://natal.rn.gov.br/transparencia/,Natal,Natal,RN,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Canela,http://servicosonline.canela.rs.gov.br:8080/sys523/,Canela,Canela,RS,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Canoas,http://sistemas.canoas.rs.gov.br/transparencia/servlet/home,Canoas,Canoas,RS,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Caxias do Sul,https://www.caxias.rs.gov.br/transparencia/,Caxias do Sul,Caxias do Sul,RS,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Gramado,https://e-gov.betha.com.br/transparencia/01037-007/recursos.faces?mun=9bLe8KbFHR0=,Gramado,Gramado,RS,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Pelotas,http://www.pelotas.com.br/transparencia/,Pelotas,Pelotas,RS,Brasil,Brasil,,Municipal
Portal de Dados Abertos do Município de Porto Alegre,http://datapoa.com.br/,Porto Alegre,Porto Alegre,RS,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Santa Maria,http://www.santamaria.rs.gov.br/transparencia/,Santa Maria,Santa Maria,RS,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Porto Velho,http://transparencia.portovelho.ro.gov.br/Site/Principal/,Porto Velho,Porto Velho,RO,Brasil,Brasil,,Municipal
Portal da Transparência da Câmara Municipal de Porto Velho,http://transparencia.portovelho.ro.leg.br/,Porto Velho,Porto Velho,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Alta Floresta D'Oeste,https://transparencia.altaflorestadoeste.ro.gov.br/,Alta Floresta D'Oeste,Alta Floresta D'Oeste,RO,Brasil,Brasil,,Municipal
Portal da Transparência da Câmara Municipal de Alta Floresta D'Oeste,http://transparencia.altaflorestadoeste.ro.leg.br/,Alta Floresta D'Oeste,Alta Floresta D'Oeste,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Ariquemes,http://transparencia.ariquemes.ro.gov.br/transparencia/,Ariquemes,Ariquemes,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Ariquemes,http://transparencia.camaradeariquemes.ro.gov.br/,Ariquemes,Ariquemes,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Cabixi,http://transparencia.cabixi.ro.gov.br/,Cabixi,Cabixi,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Cabixi,http://transparencia.cabixi.ro.leg.br/transparencia/,Cabixi,Cabixi,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Cacoal,https://transparencia.cacoal.ro.gov.br/,Cacoal,Cacoal,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Cacoal,http://transparencia.cacoal.ro.leg.br/portaltransparencia/,Cacoal,Cacoal,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Cerejeiras,http://transparencia.cerejeiras.ro.gov.br/,Cerejeiras,Cerejeiras,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Cerejeiras,http://transparencia.cerejeiras.ro.leg.br/transparencia/,Cerejeiras,Cerejeiras,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Colorado do Oeste,http://transparencia.coloradodooeste.ro.gov.br/transparencia/,Colorado do Oeste,Colorado do Oeste,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Colorado do Oeste,http://transparencia.coloradodooeste.ro.leg.br/portaltransparencia/,Colorado do Oeste,Colorado do Oeste,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Corumbiara,http://transparencia.corumbiara.ro.gov.br/,Corumbiara,Corumbiara,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Corumbiara,http://transparencia.corumbiara.ro.leg.br/transparencia/,Corumbiara,Corumbiara,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Costa Marques,http://transparencia.costamarques.ro.gov.br/,Costa Marques,Costa Marques,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Costa Marques,http://138.121.27.59:8080/portaltransparencia/,Costa Marques,Costa Marques,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Espigão D'Oeste,http://transparencia.espigaodooeste.ro.gov.br/transparencia/,Espigão D'Oeste,Espigão D'Oeste,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Espigão D'Oeste,http://177.129.125.89/portaltransparencia/,Espigão D'Oeste,Espigão D'Oeste,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Guajará-Mirim,http://transparencia.guajaramirim.ro.gov.br/transparencia/,Guajará-Mirim,Guajará-Mirim,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Guajará-Mirim,http://200.96.206.197:8079/TRANSPARENCIA/,Guajará-Mirim,Guajará-Mirim,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Jaru,http://transparencia.jaru.ro.gov.br/transparencia/,Jaru,Jaru,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Jaru,http://177.203.133.115:5659/transparencia/,Jaru,Jaru,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Jaru - Arquivo,http://177.203.133.115/portaltransparencia// <sup>1</sup>,Jaru - Arquivo,Jaru - Arquivo,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Ji-Paraná,http://transparencia.ji-parana.ro.gov.br/transparencia/,Ji-Paraná,Ji-Paraná,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Ji-Paraná,http://transparencia.jiparana.ro.leg.br/transparencia/,Ji-Paraná,Ji-Paraná,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Machadinho d'Oeste,http://www.transparencia.machadinho.ro.gov.br/,Machadinho d'Oeste,Machadinho d'Oeste,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Machadinho d'Oeste,http://transparencia.camarademachadinho.ro.gov.br/,Machadinho d'Oeste,Machadinho d'Oeste,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Nova Brasilândia D'Oeste,https://transparencia.novabrasilandia.ro.gov.br/portaltransparencia/,Nova Brasilândia D'Oeste,Nova Brasilândia D'Oeste,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Nova Brasilândia D'Oeste,http://transparencia.camaranbo.ro.gov.br/portaltransparencia/,Nova Brasilândia D'Oeste,Nova Brasilândia D'Oeste,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Ouro Preto Do Oeste,http://transparencia.ouropretodooeste.ro.gov.br/transparencia/,Ouro Preto Do Oeste,Ouro Preto Do Oeste,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Ouro Preto do Oeste,http://179.253.49.222:5659/transparencia/,Ouro Preto do Oeste,Ouro Preto do Oeste,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Pimenta Bueno,http://transparencia.pimentabueno.ro.gov.br/portaltransparencia/,Pimenta Bueno,Pimenta Bueno,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Pimenta Bueno,http://transparencia.pimentabueno.ro.leg.br/portaltransparencia/,Pimenta Bueno,Pimenta Bueno,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Presidente Médici,http://www.transparencia.presidentemedici.ro.gov.br/transparencia/,Presidente Médici,Presidente Médici,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Presidente Médici,http://transparencia.camaramedici.ro.gov.br/,Presidente Médici,Presidente Médici,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Rio Crespo,http://transparencia.riocrespo.ro.gov.br/portaltransparencia/,Rio Crespo,Rio Crespo,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Rio Crespo,http://transparencia.camarariocrespo.ro.gov.br/,Rio Crespo,Rio Crespo,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Rolim de Moura,http://transparencia.rolimdemoura.ro.gov.br/,Rolim de Moura,Rolim de Moura,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Rolim de Moura,http://transparencia.rolimdemoura.ro.leg.br/,Rolim de Moura,Rolim de Moura,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Santa Luzia D'Oeste,http://transparencia.santaluzia.ro.gov.br/,Santa Luzia D'Oeste,Santa Luzia D'Oeste,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Santa Luzia D'Oeste,http://transparencia.abase.com.br/home/paginaInicial/nmRX5BhveQo=,Santa Luzia D'Oeste,Santa Luzia D'Oeste,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Vilhena,http://transparencia.vilhena.ro.gov.br/,Vilhena,Vilhena,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Vilhena,http://transparencia.vilhena.ro.leg.br/,Vilhena,Vilhena,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de São Miguel do Guaporé,http://transparencia.saomiguel.ro.gov.br/portaltransparencia/,São Miguel do Guaporé,São Miguel do Guaporé,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de São Miguel do Guaporé,http://transparencia.saomigueldoguapore.ro.leg.br/,São Miguel do Guaporé,São Miguel do Guaporé,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Nova Mamoré,http://transparencia.novamamore.ro.gov.br/,Nova Mamoré,Nova Mamoré,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Nova Mamoré,http://transparencia.novamamore.ro.leg.br/transparencia/index.php,Nova Mamoré,Nova Mamoré,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Alvorada D'Oeste,http://transparencia.alvoradadooeste.ro.gov.br/,Alvorada D'Oeste,Alvorada D'Oeste,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Alvorada D'Oeste,http://transparencia.camaradealvorada.ro.gov.br/,Alvorada D'Oeste,Alvorada D'Oeste,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Alto Alegre dos Parecis,http://transparencia.altoalegre.ro.gov.br/,Alto Alegre dos Parecis,Alto Alegre dos Parecis,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Alto Alegre dos Parecis,http://transparencia.altoalegredoparecis.ro.leg.br/,Alto Alegre dos Parecis,Alto Alegre dos Parecis,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Alto Paraíso,http://transparencia.altoparaiso.ro.gov.br/transparencia/,Alto Paraíso,Alto Paraíso,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Alto Paraíso,http://transparencia.camaradealtoparaiso.ro.gov.br/,Alto Paraíso,Alto Paraíso,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Buritis,http://transparencia.buritis.ro.gov.br/,Buritis,Buritis,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Buritis,http://transparencia.buritis.ro.leg.br/portaltransparencia/,Buritis,Buritis,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Novo Horizonte do Oeste,http://transparencia.novohorizonte.ro.gov.br:5659/transparencia/,Novo Horizonte do Oeste,Novo Horizonte do Oeste,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Novo Horizonte do Oeste,http://179.252.90.133:5659/transparencia/,Novo Horizonte do Oeste,Novo Horizonte do Oeste,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Cacaulândia,http://transparencia.cacaulandia.ro.gov.br/transparencia/,Cacaulândia,Cacaulândia,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Cacaulândia,http://transparencia.camaradecacaulandia.ro.gov.br/transparencia/,Cacaulândia,Cacaulândia,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Campo Novo de Rondônia,http://camponovo.ro.gov.br/transparencia/,Campo Novo de Rondônia,Campo Novo de Rondônia,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Campo Novo de Rondônia,http://transparencia.camponovoderondonia.ro.leg.br/,Campo Novo de Rondônia,Campo Novo de Rondônia,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Candeias do Jamari,http://transparencia.candeiasdojamari.ro.gov.br/,Candeias do Jamari,Candeias do Jamari,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Candeias do Jamari,http://177.3.248.228:5659/transparencia/,Candeias do Jamari,Candeias do Jamari,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Castanheiras,http://transparencia.castanheiras.ro.gov.br/portaltransparencia/,Castanheiras,Castanheiras,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Castanheiras,http://177.0.35.253/portaltransparencia/,Castanheiras,Castanheiras,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Chupinguaia,http://transparencia.chupinguaia.ro.gov.br/transparencia/,Chupinguaia,Chupinguaia,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Chupinguaia,http://transparencia.chupinguaia.ro.leg.br/portaltransparencia/,Chupinguaia,Chupinguaia,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Cujubim,http://transparencia.cujubim.ro.gov.br/,Cujubim,Cujubim,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Cujubim,http://187.53.10.198:5659/transparencia/index.php,Cujubim,Cujubim,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Governador Jorge Teixeira,http://transparencia.governadorjorgeteixeira.ro.gov.br/,Governador Jorge Teixeira,Governador Jorge Teixeira,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Governador Jorge Teixeira,http://transparencia.governadorjorgeteixeira.ro.leg.br/,Governador Jorge Teixeira,Governador Jorge Teixeira,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Itapuã do Oeste,http://transparencia.itapuadooeste.ro.gov.br/transparencia/,Itapuã do Oeste,Itapuã do Oeste,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Itapuã do Oeste,http://transparencia.camaradeitapuadooeste.ro.gov.br:5659/transparencia/,Itapuã do Oeste,Itapuã do Oeste,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Ministro Andreazza,http://transparencia.ministroandreazza.ro.gov.br/portaltransparencia/,Ministro Andreazza,Ministro Andreazza,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Ministro Andreazza,http://138.122.143.85:8088/portaltransparencia/,Ministro Andreazza,Ministro Andreazza,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Mirante da Serra,http://transparencia.mirantedaserra.ro.gov.br/,Mirante da Serra,Mirante da Serra,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Mirante da Serra,http://transparencia.mirantedaserra.ro.leg.br/transparencia/,Mirante da Serra,Mirante da Serra,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Monte Negro,http://transparencia.montenegro.ro.gov.br/,Monte Negro,Monte Negro,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Monte Negro,http://transparencia.camarademontenegro.ro.gov.br/,Monte Negro,Monte Negro,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Nova União,http://transparencia.novauniao.ro.gov.br/,Nova União,Nova União,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Nova União,http://transparencia.novauniao.ro.gov.br/,Nova União,Nova União,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Parecis,http://transparencia.parecis.ro.gov.br/,Parecis,Parecis,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Parecis,http://www.transparencia.parecis.ro.leg.br/transparencia/,Parecis,Parecis,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Pimenteiras do Oeste,http://www.transparencia.pimenteirasdooeste.ro.gov.br/transparencia/,Pimenteiras do Oeste,Pimenteiras do Oeste,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Pimenteiras do Oeste,http://transparencia.pimenteirasdooeste.ro.leg.br/,Pimenteiras do Oeste,Pimenteiras do Oeste,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Primavera de Rondônia,http://transparencia.primavera.ro.gov.br/,Primavera de Rondônia,Primavera de Rondônia,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Primavera de Rondônia,http://transparencia.primaveraderondonia.ro.leg.br/,Primavera de Rondônia,Primavera de Rondônia,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de São Felipe D'Oeste,http://transparencia.saofelipe.ro.gov.br/portaltransparencia/,São Felipe D'Oeste,São Felipe D'Oeste,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de São Felipe D'Oeste,http://45.233.222.15/portaltransparencia/,São Felipe D'Oeste,São Felipe D'Oeste,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de São Francisco do Guaporé,http://transparencia.saofrancisco.ro.gov.br/,São Francisco do Guaporé,São Francisco do Guaporé,RO,Brasil,Brasil,,Municipal
Portal da Transparência da Câmara Municipal de São Francisco do Guaporé,http://transparencia.camaradesaofrancisco.ro.gov.br/,São Francisco do Guaporé,São Francisco do Guaporé,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Seringueiras,http://transparencia.seringueiras.ro.gov.br/,Seringueiras,Seringueiras,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Seringueiras,http://transparencia.camaradeseringueiras.ro.gov.br/,Seringueiras,Seringueiras,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Teixeirópolis,http://transparencia.teixeiropolis.ro.gov.br/,Teixeirópolis,Teixeirópolis,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Teixeirópolis,http://transparencia.teixeiropolis.ro.leg.br/,Teixeirópolis,Teixeirópolis,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Theobroma,http://transparencia.theobroma.ro.gov.br/portaltransparencia/,Theobroma,Theobroma,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Theobroma,http://transparencia.theobroma.ro.leg.br/,Theobroma,Theobroma,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Urupá,http://transparencia.urupa.ro.gov.br/portaltransparencia/,Urupá,Urupá,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Urupá,http://transparencia.camaradeurupa.ro.gov.br/,Urupá,Urupá,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Vale do Anari,http://transparencia.valedoanari.ro.gov.br/portaltransparencia/,Vale do Anari,Vale do Anari,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Vale do Anari,http://transparencia.camaravaledoanari.ro.gov.br/,Vale do Anari,Vale do Anari,RO,Brasil,Brasil,,Municipal
Portal de Transparência do Município de Vale do Paraíso,http://transparencia.camaravaledoanari.ro.gov.br/,Vale do Paraíso,Vale do Paraíso,RO,Brasil,Brasil,,Municipal
Portal de Transparência da Câmara Municipal de Vale do Paraíso,http://transparencia.camaradevaledoparaiso.ro.gov.br/,Vale do Paraíso,Vale do Paraíso,RO,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Boa Vista,http://transparencia.boavista.rr.gov.br/portal/index.php,Boa Vista,Boa Vista,RR,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Joinville,https://transparencia.joinville.sc.gov.br,Joinville,Joinville,SC,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Florianópolis,http://www.pmf.sc.gov.br/transparencia/index.php,Florianópolis,Florianópolis,SC,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Blumenau,http://www.blumenau.sc.gov.br/transpnew/wppaginainicial.aspx,Blumenau,Blumenau,SC,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Praia Grande,http://e-gov.betha.com.br/transparencia/01031-007/recursos.faces?,Praia Grande,Praia Grande,SC,Brasil,Brasil,,Municipal
Portal de Dados Abertos do Município de São Paulo,http://dados.prefeitura.sp.gov.br/,São Paulo,São Paulo,SP,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Guarulhos,http://portaltransparencia.guarulhos.sp.gov.br/content/dados-abertos,Guarulhos,Guarulhos,SP,Brasil,Brasil,,Municipal
Portal da Transparência e Dados Abertos do Município de Campinas,http://transparencia.campinas.sp.gov.br/,Campinas,Campinas,SP,Brasil,Brasil,,Municipal
Portal da Transparência do Município de São Bernardo do Campo,http://www.saobernardo.sp.gov.br/web/transparencia,São Bernardo do Campo,São Bernardo do Campo,SP,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Santo André,http://www.lei131.com.br/apex/portal/f?p=580:1:,Santo André,Santo André,SP,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Osasco,http://transparencia.osasco.sp.gov.br/,Osasco,Osasco,SP,Brasil,Brasil,,Municipal
Portal da Transparência do Município de São José dos Campos,http://www.sjc.sp.gov.br/servicos/portal_da_transparencia.aspx,São José dos Campos,São José dos Campos,SP,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Ribeirão Preto,http://www.ribeiraopreto.sp.gov.br/transparencia/i30principal.php,Ribeirão Preto,Ribeirão Preto,SP,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Sorocaba,http://sorocaba.prefeitura.sp.etransparencia.com.br/portal/Transparencia.aspx,Sorocaba,Sorocaba,SP,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Mauá,http://www.maua.sp.gov.br/PortalTransparencia/,Mauá,Mauá,SP,Brasil,Brasil,,Municipal
Portal da Transparência do Município de São José do Rio Preto,http://www.riopreto.sp.gov.br/portaltransparencia/hometransparencia#,São José do Rio Preto,São José do Rio Preto,SP,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Santos,http://www.santos.sp.gov.br/cidadeaberta/,Santos,Santos,SP,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Mogi das Cruzes,http://www.transparencia.pmmc.com.br/,Mogi das Cruzes,Mogi das Cruzes,SP,Brasil,Brasil,,Municipal
