Base,Link,Mantenedor,Cidade,Estado,Pais,Bandeira,Categoria,Tags
Prefeitura Municipal de Novo Airão,http://perseusdata.com/PMnovoairao/,Novo Airão,Novo Airão,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Novo Aripuanã,https://transparenciamunicipalaam.org.br/,Novo Aripuanã,Novo Aripuanã,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Parintins,https://transparencia.parintins.am.gov.br/,Parintins,Parintins,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Pauini,https://transparenciamunicipalaam.org.br/,Pauini,Pauini,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Presidente Figueiredo,https://transparenciamunicipalaam.org.br/,Presidente Figueiredo,Presidente Figueiredo,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Rio Preto da Eva,http://riopretodaeva.portaldatransparencia.org/,Rio Preto da Eva,Rio Preto da Eva,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Santa Izabel do Rio Negro,https://transparenciamunicipalaam.org.br/,Santa Izabel do Rio Negro,Santa Izabel do Rio Negro,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Santo Antônio do Içá,https://transparenciamunicipalaam.org.br/,Santo Antônio do Içá,Santo Antônio do Içá,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de São Gabriel da Cachoeira,https://transparenciamunicipalaam.org.br/,São Gabriel da Cachoeira,São Gabriel da Cachoeira,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de São Paulo de Olivença,https://transparenciamunicipalaam.org.br/,São Paulo de Olivença,São Paulo de Olivença,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de São Sebastião do Uatumã,http://www.transparencia-am.com.br/SAOSEBASTIAODOUATUMA/PM/,São Sebastião do Uatumã,São Sebastião do Uatumã,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Silves,https://transparenciamunicipalaam.org.br/,Silves,Silves,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Tabatinga,https://transparenciamunicipalaam.org.br/,Tabatinga,Tabatinga,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Tapauá,https://transparenciamunicipalaam.org.br/,Tapauá,Tapauá,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Tefé,https://transparenciamunicipalaam.org.br/,Tefé,Tefé,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Tonantins,https://transparenciamunicipalaam.org.br/,Tonantins,Tonantins,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Uarini,https://transparenciamunicipalaam.org.br/,Uarini,Uarini,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Urucará,http://www.transparencia-am.com.br/URUCARA/PM/urucara.php,Urucará,Urucará,AM,Brasil,Brasil,,Municipal
Prefeitura Municipal de Urucurituba,https://transparenciamunicipalaam.org.br/,Urucurituba,Urucurituba,AM,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Salvador,http://www.transparencia.salvador.ba.gov.br/,Salvador,Salvador,BA,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Feira de Santana,http://www.transparencia.feiradesantana.ba.gov.br/index.php?view=inicio,Feira de Santana,Feira de Santana,BA,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Vitória da Conquista,http://vitoriadaconquista-ba.portaltp.com.br/,Vitória da Conquista,Vitória da Conquista,BA,Brasil,Brasil,,Municipal
Portal de Dados Abertos do Município de Fortaleza,http://dados.fortaleza.ce.gov.br/,Fortaleza,Fortaleza,CE,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Caucaia,http://www.caucaia.ce.gov.br/transparencia.php,Caucaia,Caucaia,CE,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Serra,http://transparencia.serra.es.gov.br/,Serra,Serra,ES,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Vila Velha,http://www.vilavelha.es.gov.br/transparencia/,Vila Velha,Vila Velha,ES,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Cariacica,http://transparencia.cariacica.es.gov.br/,Cariacica,Cariacica,ES,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Vitória,http://transparencia.vitoria.es.gov.br/Default.aspx,Vitória,Vitória,ES,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Goiânia,http://www10.goiania.go.gov.br/transweb/,Goiânia,Goiânia,GO,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Aparecida de Goiânia,http://transparencia.aparecida.go.gov.br/portaltransparencia/,Aparecida de Goiânia,Aparecida de Goiânia,GO,Brasil,Brasil,,Municipal
Portal da Transparência e Dados Abertos do Município de Anápolis,http://www.transparencia.anapolis.go.gov.br/transparencia/,Anápolis,Anápolis,GO,Brasil,Brasil,,Municipal
Portal da Transparência do Município de São Luís,http://transparencia.saoluis.ma.gov.br/,São Luís,São Luís,MA,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Campo Grande,http://transparencia.campogrande.ms.gov.br/,Campo Grande,Campo Grande,MS,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Cuiabá,http://transparencia.cuiaba.mt.gov.br/transparencia/servlet/portalcuiaba,Cuiabá,Cuiabá,MT,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Belo Horizonte,https://prefeitura.pbh.gov.br/transparencia,Belo Horizonte,Belo Horizonte,MG,Brasil,Brasil,,Municipal
Portal de Dados Abertos,https://dados.pbh.gov.br/,Belo Horizonte,Belo Horizonte,MG,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Uberlândia,http://www.uberlandia.mg.gov.br/?pagina=transparencia&id=879,Uberlândia,Uberlândia,MG,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Contagem,http://www.contagem.mg.gov.br/?og=527684&te=apresentacao,Contagem,Contagem,MG,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Juiz de Fora,https://www.pjf.mg.gov.br/transparencia/index.php,Juiz de Fora,Juiz de Fora,MG,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Betim,http://servicos.betim.mg.gov.br/appsgi/servlet/wmtranspinicial,Betim,Betim,MG,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Montes Claros,http://sis.montesclaros.mg.gov.br/transparencia,Montes Claros,Montes Claros,MG,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Ribeirão das Neves,http://www.ribeiraodasneves.mg.gov.br/transparencia,Ribeirão das Neves,Ribeirão das Neves,MG,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Uberaba,"http://www.uberaba.mg.gov.br/portal/conteudo,37644",Uberaba,Uberaba,MG,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Belém,http://transparencia.belem.pa.gov.br/giig/portais/,Belém,Belém,PA,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Ananindeua,http://www.ananindeua.pa.gov.br/transparencia/?m=services#,Ananindeua,Ananindeua,PA,Brasil,Brasil,,Municipal
Portal da Transparência do Município de João Pessoa,https://transparencia.joaopessoa.pb.gov.br/#/,João Pessoa,João Pessoa,PB,Brasil,Brasil,,Municipal
